# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.607e-06 3.404e-06 2.850e-06 1.483e-07
      13 3.038e-06 4.107e-06 3.369e-06 2.083e-07
      16 2.184e-06 4.546e-06 2.825e-06 5.128e-07
      20 2.083e-06 2.710e-06 2.417e-06 1.390e-07
      25 2.199e-06 2.794e-06 2.508e-06 1.405e-07
      32 2.591e-06 3.830e-06 3.016e-06 2.827e-07
      40 2.844e-06 4.595e-06 3.492e-06 4.052e-07
      50 3.470e-06 4.692e-06 4.050e-06 3.058e-07
      63 4.529e-06 6.349e-06 5.275e-06 4.399e-07
      79 6.459e-06 9.355e-06 7.322e-06 5.442e-07
     100 9.735e-06 1.511e-05 1.111e-05 8.909e-07
     126 1.434e-05 2.311e-05 1.627e-05 1.452e-06
     158 2.096e-05 3.090e-05 2.356e-05 2.006e-06
     200 3.121e-05 4.609e-05 3.466e-05 3.141e-06
     251 4.612e-05 7.326e-05 5.344e-05 8.017e-06
     316 6.857e-05 1.151e-04 7.795e-05 1.260e-05
     398 1.030e-04 1.817e-04 1.184e-04 2.305e-05
     501 1.513e-04 2.798e-04 1.717e-04 3.320e-05
     631 2.304e-04 3.034e-04 2.418e-04 1.382e-05
     794 3.604e-04 4.197e-04 3.747e-04 1.310e-05
    1000 5.472e-04 6.239e-04 5.679e-04 1.861e-05
    1259 8.550e-04 9.676e-04 8.914e-04 2.819e-05
    1585 1.372e-03 1.534e-03 1.427e-03 3.342e-05
    1995 2.203e-03 2.473e-03 2.291e-03 4.856e-05
    2512 3.703e-03 3.997e-03 3.799e-03 5.811e-05
    3162 6.272e-03 6.911e-03 6.464e-03 1.287e-04
    3981 1.091e-02 1.220e-02 1.131e-02 2.560e-04
    5012 1.896e-02 2.080e-02 1.955e-02 3.749e-04
    6310 3.313e-02 3.689e-02 3.447e-02 7.858e-04
    7943 5.730e-02 6.341e-02 5.922e-02 1.156e-03
   10000 9.659e-02 1.059e-01 9.982e-02 2.225e-03
#------- --------- --------- --------- ---------


# shaker_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 5.470e-07 1.361e-06 8.065e-07 1.922e-07
      13 5.860e-07 1.217e-06 7.544e-07 1.515e-07
      16 6.630e-07 1.043e-06 7.977e-07 1.004e-07
      20 7.830e-07 1.189e-06 9.258e-07 1.073e-07
      25 9.600e-07 1.481e-06 1.145e-06 1.298e-07
      32 1.302e-06 2.178e-06 1.619e-06 2.147e-07
      40 1.674e-06 2.355e-06 1.907e-06 1.350e-07
      50 2.334e-06 2.878e-06 2.605e-06 1.280e-07
      63 3.353e-06 4.084e-06 3.719e-06 1.721e-07
      79 4.944e-06 6.353e-06 5.427e-06 2.798e-07
     100 7.376e-06 8.706e-06 8.009e-06 3.145e-07
     126 1.103e-05 1.305e-05 1.190e-05 4.398e-07
     158 1.645e-05 2.015e-05 1.776e-05 7.033e-07
     200 2.479e-05 2.922e-05 2.658e-05 9.223e-07
     251 3.732e-05 4.228e-05 3.953e-05 1.135e-06
     316 5.539e-05 7.506e-05 5.907e-05 2.908e-06
     398 8.413e-05 1.112e-04 8.905e-05 3.862e-06
     501 1.272e-04 1.527e-04 1.337e-04 4.265e-06
     631 1.945e-04 2.425e-04 2.033e-04 8.139e-06
     794 3.004e-04 3.628e-04 3.158e-04 1.355e-05
    1000 4.719e-04 5.372e-04 4.927e-04 1.407e-05
    1259 7.396e-04 8.413e-04 7.721e-04 2.278e-05
    1585 1.178e-03 1.314e-03 1.230e-03 2.910e-05
    1995 1.947e-03 2.196e-03 2.040e-03 5.041e-05
    2512 3.210e-03 3.533e-03 3.329e-03 6.641e-05
    3162 5.520e-03 6.134e-03 5.723e-03 1.197e-04
    3981 9.405e-03 1.099e-02 9.919e-03 3.742e-04
    5012 1.590e-02 1.740e-02 1.652e-02 3.242e-04
    6310 2.691e-02 3.006e-02 2.805e-02 7.806e-04
    7943 4.505e-02 4.864e-02 4.634e-02 8.232e-04
   10000 7.359e-02 8.005e-02 7.620e-02 1.464e-03
#------- --------- --------- --------- ---------


# insertion_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.820e-07 7.780e-07 5.887e-07 6.534e-08
      13 5.050e-07 6.970e-07 5.864e-07 6.434e-08
      16 5.330e-07 7.430e-07 6.181e-07 7.283e-08
      20 5.730e-07 8.570e-07 6.797e-07 8.494e-08
      25 6.330e-07 9.530e-07 7.481e-07 1.036e-07
      32 8.730e-07 1.432e-06 1.042e-06 1.020e-07
      40 8.540e-07 1.383e-06 1.122e-06 1.428e-07
      50 1.005e-06 1.613e-06 1.203e-06 1.966e-07
      63 1.253e-06 2.036e-06 1.453e-06 2.305e-07
      79 1.608e-06 2.821e-06 1.880e-06 3.242e-07
     100 2.171e-06 3.706e-06 2.463e-06 3.670e-07
     126 3.026e-06 5.133e-06 3.325e-06 3.789e-07
     158 4.272e-06 7.362e-06 4.664e-06 4.493e-07
     200 6.277e-06 1.041e-05 6.792e-06 5.685e-07
     251 9.321e-06 1.672e-05 1.030e-05 1.376e-06
     316 1.399e-05 2.035e-05 1.492e-05 8.229e-07
     398 2.133e-05 2.887e-05 2.259e-05 1.036e-06
     501 3.281e-05 3.871e-05 3.452e-05 8.630e-07
     631 5.105e-05 5.970e-05 5.350e-05 1.383e-06
     794 7.961e-05 1.100e-04 8.369e-05 3.476e-06
    1000 1.248e-04 1.677e-04 1.312e-04 5.978e-06
    1259 1.983e-04 2.701e-04 2.115e-04 1.363e-05
    1585 3.110e-04 3.683e-04 3.244e-04 1.304e-05
    1995 4.890e-04 5.701e-04 5.118e-04 1.776e-05
    2512 7.624e-04 8.979e-04 8.005e-04 2.792e-05
    3162 1.207e-03 1.417e-03 1.276e-03 4.455e-05
    3981 1.957e-03 2.159e-03 2.034e-03 4.449e-05
    5012 3.100e-03 3.398e-03 3.204e-03 5.945e-05
    6310 4.915e-03 5.446e-03 5.068e-03 9.820e-05
    7943 7.772e-03 8.678e-03 8.031e-03 1.728e-04
   10000 1.235e-02 1.346e-02 1.266e-02 2.221e-04
   12589 1.937e-02 2.084e-02 1.997e-02 3.103e-04
   15849 3.059e-02 3.276e-02 3.138e-02 5.084e-04
   19953 4.833e-02 5.275e-02 4.939e-02 9.338e-04
   25119 7.705e-02 8.515e-02 7.951e-02 1.646e-03
#------- --------- --------- --------- ---------


# Shell_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 5.040e-07 5.820e-07 5.370e-07 1.755e-08
      13 5.560e-07 7.170e-07 5.969e-07 2.489e-08
      16 6.170e-07 7.170e-07 6.652e-07 2.344e-08
      20 7.160e-07 9.890e-07 7.952e-07 6.259e-08
      25 8.380e-07 1.109e-06 9.165e-07 4.489e-08
      32 1.088e-06 1.801e-06 1.366e-06 1.421e-07
      40 1.442e-06 2.104e-06 1.682e-06 1.156e-07
      50 1.561e-06 1.860e-06 1.678e-06 6.300e-08
      63 2.005e-06 2.882e-06 2.332e-06 2.562e-07
      79 2.566e-06 3.712e-06 2.963e-06 3.216e-07
     100 3.410e-06 1.678e-05 4.066e-06 8.538e-07
     126 4.392e-06 5.175e-06 4.604e-06 1.132e-07
     158 5.788e-06 6.960e-06 6.065e-06 1.551e-07
     200 7.644e-06 1.053e-05 8.326e-06 7.888e-07
     251 9.917e-06 1.394e-05 1.058e-05 8.033e-07
     316 1.297e-05 1.753e-05 1.369e-05 8.968e-07
     398 1.709e-05 2.289e-05 1.806e-05 1.328e-06
     501 2.289e-05 2.994e-05 2.396e-05 1.223e-06
     631 3.016e-05 3.635e-05 3.120e-05 9.201e-07
     794 3.895e-05 4.561e-05 4.023e-05 9.622e-07
    1000 5.008e-05 6.157e-05 5.165e-05 1.393e-06
    1259 6.573e-05 8.133e-05 6.794e-05 2.342e-06
    1585 8.613e-05 1.064e-04 8.884e-05 2.514e-06
    1995 1.114e-04 1.373e-04 1.156e-04 3.333e-06
    2512 1.443e-04 1.893e-04 1.504e-04 7.014e-06
    3162 1.886e-04 2.431e-04 1.968e-04 1.039e-05
    3981 2.511e-04 3.041e-04 2.601e-04 1.170e-05
    5012 3.271e-04 4.227e-04 3.462e-04 2.090e-05
    6310 4.295e-04 5.048e-04 4.471e-04 1.552e-05
    7943 5.593e-04 6.570e-04 5.811e-04 2.081e-05
   10000 7.246e-04 8.173e-04 7.492e-04 2.071e-05
   12589 9.485e-04 1.068e-03 9.805e-04 2.590e-05
   15849 1.209e-03 1.338e-03 1.259e-03 2.867e-05
   19953 1.576e-03 1.724e-03 1.639e-03 3.125e-05
   25119 2.054e-03 2.236e-03 2.127e-03 4.110e-05
   31623 2.692e-03 2.953e-03 2.780e-03 4.681e-05
   39811 3.555e-03 3.981e-03 3.688e-03 8.179e-05
   50119 4.611e-03 5.045e-03 4.747e-03 8.655e-05
   63096 6.018e-03 6.780e-03 6.222e-03 1.455e-04
   79433 7.810e-03 8.748e-03 8.107e-03 1.850e-04
  100000 1.008e-02 1.101e-02 1.040e-02 1.976e-04
  125893 1.310e-02 1.438e-02 1.351e-02 2.594e-04
  158489 1.714e-02 1.869e-02 1.772e-02 3.362e-04
  199526 2.223e-02 2.424e-02 2.297e-02 4.455e-04
  251189 2.894e-02 3.180e-02 3.008e-02 6.312e-04
  316228 3.790e-02 4.288e-02 3.962e-02 1.091e-03
  398107 4.910e-02 5.559e-02 5.128e-02 1.355e-03
  501187 6.419e-02 7.208e-02 6.703e-02 1.660e-03
#------- --------- --------- --------- ---------


# quick_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.730e-07 8.000e-07 5.429e-07 7.159e-08
      13 5.720e-07 8.210e-07 6.436e-07 4.504e-08
