 n    sin    cos
-- ------ ------
 1 0.0175 0.9998
 2 0.0349 0.9994
 3 0.0523 0.9986
 4 0.0698 0.9976
 5 0.0872 0.9962
 6 0.1045 0.9945
 7 0.1219 0.9925
 8 0.1392 0.9903
 9 0.1564 0.9877
10 0.1736 0.9848
11 0.1908 0.9816
12 0.2079 0.9781
13 0.2250 0.9744
14 0.2419 0.9703
15 0.2588 0.9659
16 0.2756 0.9613
17 0.2924 0.9563
18 0.3090 0.9511
19 0.3256 0.9455
20 0.3420 0.9397
21 0.3584 0.9336
22 0.3746 0.9272
23 0.3907 0.9205
24 0.4067 0.9135
25 0.4226 0.9063
26 0.4384 0.8988
27 0.4540 0.8910
28 0.4695 0.8829
29 0.4848 0.8746
30 0.5000 0.8660
31 0.5150 0.8572
32 0.5299 0.8480
33 0.5446 0.8387
34 0.5592 0.8290
35 0.5736 0.8192
36 0.5878 0.8090
37 0.6018 0.7986
38 0.6157 0.7880
39 0.6293 0.7771
40 0.6428 0.7660
41 0.6561 0.7547
42 0.6691 0.7431
43 0.6820 0.7314
44 0.6947 0.7193
45 0.7071 0.7071
46 0.7193 0.6947
47 0.7314 0.6820
48 0.7431 0.6691
49 0.7547 0.6561
50 0.7660 0.6428
51 0.7771 0.6293
52 0.7880 0.6157
53 0.7986 0.6018
54 0.8090 0.5878
55 0.8192 0.5736
56 0.8290 0.5592
57 0.8387 0.5446
58 0.8480 0.5299
59 0.8572 0.5150
60 0.8660 0.5000
61 0.8746 0.4848
62 0.8829 0.4695
63 0.8910 0.4540
64 0.8988 0.4384
65 0.9063 0.4226
66 0.9135 0.4067
67 0.9205 0.3907
68 0.9272 0.3746
69 0.9336 0.3584
70 0.9397 0.3420
71 0.9455 0.3256
72 0.9511 0.3090
73 0.9563 0.2924
74 0.9613 0.2756
75 0.9659 0.2588
76 0.9703 0.2419
77 0.9744 0.2250
78 0.9781 0.2079
79 0.9816 0.1908
80 0.9848 0.1736
81 0.9877 0.1564
82 0.9903 0.1392
83 0.9925 0.1219
84 0.9945 0.1045
85 0.9962 0.0872
86 0.9976 0.0698
87 0.9986 0.0523
88 0.9994 0.0349
89 0.9998 0.0175
90 1.0000 0.0000
